3.1856;0.2021;1
3.1856;0.2021;1
3.1856;0.2021;0.6
3.1856;0.2021;-0.0376
3.1856;0.2021;0.6
3.4659;0.3881;0.6
3.4659;0.3881;0.6
3.4659;0.3881;-0.0376
3.4659;0.3881;0.6
3.7979;0.6084;0.6
3.7979;0.6084;0.6
3.7979;0.6084;-0.0376
3.7979;0.6084;0.6
3.7979;2.3916;0.6
3.7979;2.3916;0.6
3.7979;2.3916;-0.0376
3.7979;2.3916;0.6
3.4659;2.6119;0.6
3.4659;2.6119;0.6
3.4659;2.6119;-0.0376
3.4659;2.6119;0.6
3.1856;2.7979;0.6
3.1856;2.7979;0.6
3.1856;2.7979;-0.0376
3.1856;2.7979;0.6
0.8144;2.7979;0.6
0.8144;2.7979;0.6
0.8144;2.7979;-0.0376
0.8144;2.7979;0.6
0.5341;2.6119;0.6
0.5341;2.6119;0.6
0.5341;2.6119;-0.0376
0.5341;2.6119;0.6
0.2021;2.3916;0.6
0.2021;2.3916;0.6
0.2021;2.3916;-0.0376
0.2021;2.3916;0.6
0.2021;0.6084;0.6
0.2021;0.6084;0.6
0.2021;0.6084;-0.0376
0.2021;0.6084;0.6
0.5341;0.3881;0.6
0.5341;0.3881;0.6
0.5341;0.3881;-0.0376
0.5341;0.3881;0.6
0.8144;0.2021;0.6
0.8144;0.2021;0.6
0.8144;0.2021;-0.0376
0.8144;0.2021;0.6
0.8144;0.2021;1
1.4503;1.8843;1
1.4503;1.8843;0.6
1.4503;1.8843;0.5001
1.4575;1.8892;0.4998
1.4642;1.8946;0.4995
1.4705;1.9005;0.4992
1.4764;1.9068;0.4989
1.4818;1.9135;0.4986
1.4867;1.9206;0.4983
1.4911;1.9281;0.4979
1.4949;1.9358;0.4976
1.4982;1.9438;0.4973
1.5009;1.952;0.497
1.5029;1.9604;0.4967
1.5044;1.9689;0.4964
1.5052;1.9775;0.4961
1.5054;1.9862;0.4958
1.505;1.9948;0.4955
1.5039;2.0034;0.4952
1.5022;2.0119;0.4949
1.4999;2.0202;0.4946
1.497;2.0283;0.4943
1.4936;2.0362;0.494
1.4895;2.0439;0.4937
1.4849;2.0512;0.4934
1.4798;2.0582;0.4931
1.4742;2.0647;0.4928
1.4682;2.0709;0.4925
1.4617;2.0766;0.4922
1.4548;2.0818;0.4919
1.4475;2.0865;0.4916
1.44;2.0906;0.4913
1.4321;2.0942;0.491
1.424;2.0973;0.4907
1.4157;2.0997;0.4904
1.4073;2.1015;0.4901
1.3987;2.1027;0.4898
1.3901;2.1032;0.4895
1.3815;2.1032;0.4892
1.3729;2.1025;0.4889
1.3643;2.1012;0.4886
1.3559;2.0992;0.4883
1.3477;2.0967;0.488
1.3396;2.0936;0.4877
1.3318;2.0899;0.4874
1.3243;2.0856;0.4871
1.3171;2.0808;0.4868
1.3103;2.0755;0.4865
1.3039;2.0697;0.4862
